EntrezID,GeneSymbol,ConfidenceCategory,TRIAGEhit,Pathway,InteractingGenes,NetworkGenePathways
2,A2M,MedConf,Yes,,"SERPINE1, MMP9, ACTN1, TGFB3, LEFTY2, RAC1, RHOA, MMP3","Leukocyte transendothelial migration (4), AGE-RAGE signaling pathway in diabetic complications (3), Focal adhesion (3), Regulation of actin cytoskeleton (3), TGF-beta signaling pathway (3), Tight junction (3), Axon guidance (2), Rap1 signaling pathway (2), Ras signaling pathway (2), Sphingolipid signaling pathway (2), TNF signaling pathway (2), B cell receptor signaling pathway (1), Cytokine-cytokine receptor interaction (1), Endocrine resistance (1), Fc epsilon RI signaling pathway (1), HIF-1 signaling pathway (1), Natural killer cell mediated cytotoxicity (1), Non-alcoholic fatty liver disease (NAFLD) (1), Phospholipase D signaling pathway (1), PI3K-Akt signaling pathway (1), Platelet activation (1), T cell receptor signaling pathway (1), Toll-like receptor signaling pathway (1), Vascular smooth muscle contraction (1)"
60496,AASDHPPT,MedConf,Yes,,UBE2D2,Ubiquitin mediated proteolysis (1)
5243,ABCB1,MedConf,Yes,,"EP300, SP1","TGF-beta signaling pathway (2), Endocrine resistance (1), HIF-1 signaling pathway (1), Jak-STAT signaling pathway (1), Notch signaling pathway (1), Thyroid hormone signaling pathway (1)"
1244,ABCC2,HighConf,Yes,,"UQCRFS1, NDUFA10","Non-alcoholic fatty liver disease (NAFLD) (2), Oxidative phosphorylation (2), Cardiac muscle contraction (1)"
3983,ABLIM1,MedConf,Yes,Axon guidance,,
32,ACACB,MedConf,Yes,AMPK signaling pathway,"CS, SP1","Endocrine resistance (1), TGF-beta signaling pathway (1)"
125981,ACER1,MedConf,Yes,Sphingolipid signaling pathway,"UQCRB, UQCR10, NDUFS7, MRPL44, AFG3L2, NDUFB11, ASAH2, NDUFS6, NDUFA10","Non-alcoholic fatty liver disease (NAFLD) (6), Oxidative phosphorylation (6), Cardiac muscle contraction (2), Sphingolipid signaling pathway (1)"
22985,ACIN1,MedConf,Yes,"Spliceosome, mRNA surveillance pathway, RNA transport","PRPF6, DHX15, SF3A1, NDUFAF4, SON, RWDD2A, SRPK2, SEPT2, ATP7A, SF3A2, DHX9, SEPT7, SRP14, ZC3H18, RHOT2",Spliceosome (4)
70,ACTC1,MedConf,Yes,Cardiac muscle contraction,"MYH10, TPM3","Cardiac muscle contraction (1), Regulation of actin cytoskeleton (1), Tight junction (1)"
71,ACTG1,MedConf,Yes,"Thyroid hormone signaling pathway, Regulation of actin cytoskeleton, Tight junction, Leukocyte transendothelial migration, Rap1 signaling pathway, Focal adhesion, Platelet activation, Apoptosis","ACTN2, PARVB, IQGAP1, ACTN1, PRKCD, VASP, ITGB5, WIPF2, MYO5A, ITGA2B, NCKAP1, PFN2, YARS, BRK1, FMNL3, RUVBL1, CAD, MYH10, RUVBL2, ZYX, DSTN, CORO1C, RAC1, RHOA","Regulation of actin cytoskeleton (10), Focal adhesion (8), Rap1 signaling pathway (5), Tight junction (5), Leukocyte transendothelial migration (4), PI3K-Akt signaling pathway (3), Platelet activation (3), AGE-RAGE signaling pathway in diabetic complications (2), Axon guidance (2), Ras signaling pathway (2), Sphingolipid signaling pathway (2), Vascular smooth muscle contraction (2), B cell receptor signaling pathway (1), Fc epsilon RI signaling pathway (1), Natural killer cell mediated cytotoxicity (1), Non-alcoholic fatty liver disease (NAFLD) (1), Phospholipase D signaling pathway (1), Pyrimidine metabolism (1), T cell receptor signaling pathway (1), TGF-beta signaling pathway (1), Toll-like receptor signaling pathway (1)"
87,ACTN1,MedConf,Yes,"Regulation of actin cytoskeleton, Tight junction, Leukocyte transendothelial migration, Focal adhesion","CAMK2A, KNG1, ITGB5, TGFB3, ITGA2B, PLG, RARRES2, HRG, LEFTY2, PIP5K1B, CDC37L1, IGF2, ZYX, RAC1, RHOA, FAM3C, A2M, CKB, SERPINE1, ACTG1, PIK3CA, TPM3, ACTN2, PARVB","Focal adhesion (8), Regulation of actin cytoskeleton (7), Rap1 signaling pathway (5), AGE-RAGE signaling pathway in diabetic complications (4), Axon guidance (4), Leukocyte transendothelial migration (4), PI3K-Akt signaling pathway (4), Platelet activation (4), HIF-1 signaling pathway (3), Phospholipase D signaling pathway (3), Ras signaling pathway (3), Sphingolipid signaling pathway (3), TGF-beta signaling pathway (3), Tight junction (3), Apoptosis (2), B cell receptor signaling pathway (2), ErbB signaling pathway (2), Fc epsilon RI signaling pathway (2), Natural killer cell mediated cytotoxicity (2), Non-alcoholic fatty liver disease (NAFLD) (2), T cell receptor signaling pathway (2), Thyroid hormone signaling pathway (2), Toll-like receptor signaling pathway (2), AMPK signaling pathway (1), Cardiac muscle contraction (1), Cytokine-cytokine receptor interaction (1), Endocrine resistance (1), Jak-STAT signaling pathway (1), Prolactin signaling pathway (1), TNF signaling pathway (1), Vascular smooth muscle contraction (1)"
