"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","MAPK signaling pathway",0,0,0,211,56,34,"Akt1, Akt2, Cacna1a, Cacnb1, Cdc42, Crk, Gadd45a, Elk1, Jun, Kras, Mapkapk2, Mef2c, Nfkb1, Nras, Prkaca, Ppm1b, Ppp3cb, Hspa1a, Rras, Sos1, Arrb2, Tgfbr1, Tnf, Map4k3, Mapk7, Dusp5, Map2k7, Map3k2, Mapk14, Cacna2d4, Stk3, Dusp10, Tab1, Dusp9","Egf, Fos, Jund, Rac3, Nfatc3, Nfkb2, Ppp3ca, Ppp3r1, Ppp5c, Mapk8ip1, Rasgrp2, Rela, Sos2, Rasa1, Cacna1i, Map3k11, Map3k7, Mapk8, Ecsit, Mapk8ip3, Dusp6, Flnc",0.436
"2","Autophagy - animal",0,0,0,122,43,27,"Atg14, Akt1, Akt2, Bnip3, Dapk3, Kras, Nras, Igbp1, Pdpk1, Pik3ca, Prkaca, Rras, Camkk2, Pik3c3, Ambra1, Atg4d, Atg13, Rragd, Rragc, Mlst8, Tsc1, Snap29, Atg3, Trp53inp2, Atg16l2, Atg7, Ern1","Atg5, Rb1cc1, Hif1a, Mtmr4, Pik3r1, Ppp2ca, Rab33b, Stk11, Zfyve1, Map3k7, Mapk8, Wipi1, Becn1, Gabarapl1, Stx17, Atg101",0.49
"3","Mitophagy - animal",0,0,0,61,25,15,"Bnip3, Bnip3l, Csnk2b, Jun, Kras, Mitf, Cited2, Nras, Rras, Sp1, Src, Rhot2, Ambra1, Rhot1, Optn","Usp30, Atg5, Csnk2a1, Hif1a, Rela, Mapk8, Becn1, Gabarapl1, Fis1, Pink1",0.505
"4","Endocytosis",0,0,0.001,238,61,43,"Arap3, Vps37c, Arf1, Arf5, Capza1, Cdc42, Epn1, Acap3, Grk4, H2-L, Il2ra, Il2rg, Kif5a, Kif5b, Rab8a, Pip5k1c, Pld1, Cyth1, Rab10, Rab5b, Hspa1a, Src, Cblb, Arfgef1, Arrb2, Tgfbr1, Snx32, Iqsec2, Ehd2, Bin1, Vps37b, Agap1, Smurf2, Chmp1b, Arpc5, Chmp2a, Ap2b1, Mvb12b, Wasl, Rab11fip2, Rab11fip1, Chmp5, Rbsn","Ap2a1, Rhoa, Grk5, Pip5k1b, Pld2, Sh3glb2, Zfyve9, Git2, Snf8, Zfyve27, Pard6a, Pard6b, Ccdc53, Rnf41, Stambp, Snx6, Arpc2, Arfgef2",0.481
"5","Ribosome biogenesis in eukaryotes",0,0,0.001,75,27,17,"Utp15, Pwp2, Csnk2b, Utp6, Cirh1a, Heatr1, Nol6, Dkc1, Wdr3, 2610020H08Rik, Nxt1, Pop4, Mphosph10, Utp14a, Wdr75, Rrp7a, Nat10","Mdn1, Csnk2a1, Eif6, Utp18, Gnl2, Imp4, Gnl3, Nop58, Nob1, Gar1",0.495
"6","Longevity regulating pathway",0,0,0.001,81,28,19,"Adcy7, Akt1, Akt2, Kras, Nfkb1, Nras, Pik3ca, Prkaca, Prkag1, Camkk2, Creb3l2, Sesn2, Atg13, Foxo1, Tsc1, Adipor2, Adipor1, Sesn3, Sirt1","Prkab2, Atg5, Rb1cc1, Creb3, Pik3r1, Prkab1, Rela, Stk11, Atg101",0.512
"7","FoxO signaling pathway",0,0,0.001,120,37,24,"Akt1, Akt2, Atm, Bnip3, Ccnd2, Cdkn1b, Cdkn2d, Gadd45a, Il10, Il6, Kras, Smad4, Nras, Pdpk1, Pik3ca, Plk1, Prkag1, Sos1, Tgfbr1, Usp7, Mapk14, Foxo1, Setd7, Sirt1","Prkab2, Araf, Ccng2, Plk3, Egf, Il7r, Pik3r1, Prkab1, Sos2, Stk11, Mapk8, Gabarapl1, Pck2",0.478
"8","T cell receptor signaling pathway",0,0,0.001,94,31,20,"Akt1, Akt2, Cdc42, Il10, Jun, Kras, Lck, Nfkb1, Nras, Pdpk1, Pik3ca, Ppp3cb, Ptprc, Sos1, Cblb, Tnf, Malt1, Map2k7, Mapk14, Pak4","Rhoa, Dlg1, Fos, Nfatc3, Pdcd1, Pik3r1, Ppp3ca, Ppp3r1, Rela, Sos2, Map3k7",0.487
"9","RNA polymerase",0,0,0.002,28,14,7,"Polr1b, Polr3e, Twistnb, Polr1e, Polr2e, Polr3d, Polr3h","Polr1a, Polr2a, Polr2c, Polr2h, Znrd1, Polr3k, Polr2d",0.5
"10","B cell receptor signaling pathway",0,0,0.004,69,24,15,"Akt1, Akt2, Btk, Cd79b, Inpp5d, Jun, Kras, Nfkb1, Nras, Pik3ca, Pirb, Ppp3cb, Sos1, Malt1, Ifitm1","Cr2, Fos, Rac3, Nfatc3, Pik3r1, Ppp3ca, Ppp3r1, Rela, Sos2",0.486
"11","Neurotrophin signaling pathway",0,0.001,0.006,107,32,23,"Irak2, Akt1, Akt2, Cdc42, Crk, Gab1, Jun, Kras, Sh2b3, Zfp369, Mapkapk2, Nfkb1, Nras, Pdpk1, Pik3ca, Sh2b1, Sort1, Sos1, Ywhae, Mapk7, Map2k7, Mapk14, Zfp110","Rhoa, Matk, Pik3r1, Arhgdia, Rela, Sos2, Mapk8, Frs2, Prdm4",0.509
"12","AMPK signaling pathway",0,0.001,0.007,108,32,19,"Akt1, Akt2, Cab39, Cpt1a, Fasn, Lipe, Rab8a, Pdpk1, Pik3ca, Prkag1, Rab10, Camkk2, Creb3l2, Ppp2r5d, Foxo1, Tsc1, Adipor2, Adipor1, Sirt1","Prkab2, Ccna2, Creb3, Pfkl, Pfkm, Pik3r1, Ppp2ca, Prkab1, Stk11, Stradb, Map3k7, Mlycd, Pck2",0.445
"13","Pyrimidine metabolism",0,0.001,0.011,91,28,14,"Polr1b, Rrm2, Uck1, Polr3e, Twistnb, Nt5c, Ctps, Dhodh, Polr1e, Polr2e, Polr3d, Pold3, Nt5c2, Polr3h","Nt5m, Entpd5, Nme2, Pola1, Pold1, Polr1a, Polr2a, Polr2c, Polr2h, Dctd, Tk2, Znrd1, Polr3k, Polr2d",0.404
