"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"446",102157402,"AK6","HighConf","Yes","Ribosome biogenesis in eukaryotes, Purine metabolism",NA,NA
"1339",8314,"BAP1","MedConf","Yes",NA,"PSMB4, PSMA4, PSMA6, PSMC1","Proteasome (4)"
"1460",332,"BIRC5","MedConf","Yes",NA,"SPC24, RANGAP1, CDCA8, NUMA1, CENPI, CDC20, RPS27, NDC80","Cell cycle (1), Ribosome (1), RNA transport (1)"
"1617",8896,"BUD31","HighConf","Yes","Spliceosome","SF3A2, SNRPD3, SNW1, SNRPG, PRPF19","Spliceosome (5)"
"2432",896,"CCND3","HighConf","Yes","Cell cycle","MED17, MED14, RBL2, MED9, PCNA","Cell cycle (2), Base excision repair (1), Mismatch repair (1), Nucleotide excision repair (1), DNA replication (1)"
"2573",8881,"CDC16","MedConf","Yes","Cell cycle","PSMC1, PSMB4, PSMA4, CDC20, PSMA6","Proteasome (4), Cell cycle (1)"
"2574",991,"CDC20","MedConf","Yes","Cell cycle","NDC80, BIRC5, SPC24, RANGAP1, CDCA8, CDC16, CENPI, RPS27, TCP1, PSMA6, PSMA4, PSMC1, PSMB4","Proteasome (4), Ribosome (1), Cell cycle (1), RNA transport (1)"
"2597",8318,"CDC45","MedConf","Yes","Cell cycle","POLE2, PRIM1, RPA1, PCNA","DNA replication (4), Nucleotide excision repair (3), Base excision repair (2), Mismatch repair (2), Purine metabolism (2), Pyrimidine metabolism (2), Cell cycle (1)"
"2608",55143,"CDCA8","MedConf","Yes",NA,"CENPI, SPC24, NDC80, RANGAP1, BIRC5, RPS27, CDC20","RNA transport (1), Cell cycle (1), Ribosome (1)"
"2725",10153,"CEBPZ","MedConf","Yes",NA,"NIP7, PES1, FBL","Ribosome biogenesis in eukaryotes (1)"
"2751",2491,"CENPI","MedConf","Yes",NA,"CDCA8, RPS27, NDC80, CDC20, BIRC5, SPC24, RANGAP1","RNA transport (1), Cell cycle (1), Ribosome (1)"
"3418",27297,"CRCP","HighConf","Yes",NA,"POLE2, POLD3, POLR3K, POLE3","Purine metabolism (4), Pyrimidine metabolism (4), Base excision repair (3), Nucleotide excision repair (3), DNA replication (3), RNA polymerase (1), Mismatch repair (1)"
"3572",9150,"CTDP1","HighConf","Yes",NA,"POLR2D, POLR2I, ERCC2, POLR2L, MED14, MED17","RNA polymerase (3), Purine metabolism (3), Pyrimidine metabolism (3), Nucleotide excision repair (1)"
"3917",7919,"DDX39B","MedConf","Yes","Spliceosome, RNA transport",NA,NA
"4061",1665,"DHX15","MedConf","Yes","Spliceosome","NKAP, PRPF19, SF3A2, FBL, SNW1","Spliceosome (3), Ribosome biogenesis in eukaryotes (1)"
"4084",27292,"DIMT1","HighConf","Yes",NA,"NOC4L, UTP15","Ribosome biogenesis in eukaryotes (1)"
"4333",29102,"DROSHA","MedConf","Yes","Ribosome biogenesis in eukaryotes",NA,NA
"4369",1841,"DTYMK","MedConf","Yes","Pyrimidine metabolism",NA,NA
"4426",1859,"DYRK1A","MedConf","Yes",NA,"RBL2","Cell cycle (1)"
"4590",8664,"EIF3D","MedConf","Yes","RNA transport","RPL15, RPL37, RPS3A, RPL14, RPL36, RPL18A, RPL13A, RPS11, RPL8, EIF3K, RPS5, RPL13, RPS29, RPL23A, RPL29, RPL32, RPLP2, RPL37A, RPS19, RPS14, RPL11, RPL34, RPL3, RPS27, RPL21, RPS4X, RPL6, RPS15A, RPL19, RPS23, RPL17, RPS28","Ribosome (31)"
"4597",27335,"EIF3K","MedConf","Yes",NA,"EIF3D, RPS15A, RPS29, RPS28, RPL11, RPS27, RPL8, RPS11, RPL13A, RPS19, RPL18A, RPL37A, RPL23A, RPL36, RPL37, RPS14, RPS4X, RPL17, RPL21, RPL34, RPL15, RPS5, RPL32, RPS3A, RPL3, RPL29, RPS23, RPL19, RPL14, RPLP2, RPL6, RPL13","Ribosome (31), RNA transport (1)"
"4621",3692,"EIF6","HighConf","Yes","Ribosome biogenesis in eukaryotes","RPL6, RPL17, FBL, RPL37A, RPL36, RPL13, RPL37, RPL3, RPL34, PES1, NIP7, RSL24D1, RPS15A, RPL23A, RPS5, RPS4X, RPL14, RPL18A","Ribosome (16), Ribosome biogenesis in eukaryotes (1)"
"4802",2068,"ERCC2","HighConf","Yes","Nucleotide excision repair","FAM96B, CTDP1, POLR2L, POLR2I, TAF1B, RPA1, POLR2D","RNA polymerase (3), Purine metabolism (3), Pyrimidine metabolism (3), Mismatch repair (1), Nucleotide excision repair (1), DNA replication (1)"
