"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Pyrimidine metabolism",0,0,0,101,12,4,"POLE3, POLR2E, POLR2I, RRM2","POLD3, DTYMK, ZNRD1, POLR3K, POLE2, POLR2D, POLR2L, PRIM1",0.226
"2","Ribosome",0,0,0,133,44,17,"RPS10-NUDT3, RSL24D1, RPL3, RPL8, RPL10, RPL13, RPL17, RPL18A, RPL19, RPL23A, RPL32, RPL37, RPL37A, RPS11, RPS15A, RPS19, RPL23","MRPL3, MRPL10, RPL13A, RPL36, MRPL13, RPL6, RPL7A, RPL11, RPL15, RPL21, RPL28, RPL29, RPL34, RPLP2, RPS3A, RPS4X, RPS5, RPS14, RPS17, RPS18, RPS23, RPS27, RPS28, RPS29, MRPL36, RPL14, MRPL33",0.359
"3","Spliceosome",0,0,0,129,23,7,"TXNL4A, PRPF19, SNRPD1, SNRPD3, SNRPF, BUD31, PRPF4","SF3B4, SNRNP27, U2AF2, DHX15, SNW1, SF3B1, HNRNPC, HSPA8, PRPF38B, SRSF1, SRSF2, SRSF7, TRA2B, SNRPG, DDX39B, SF3A2",0.241
"4","Ribosome biogenesis in eukaryotes",0,0,0,73,11,4,"AK6, EIF6, POP5, RAN","POP7, RPP38, SPATA5, FBL, DROSHA, HEATR1, UTP15",0.257
"5","RNA transport",0,0,0.002,161,14,3,"POM121C, POP5, RAN","POP7, RPP38, GEMIN5, KPNB1, PHAX, RANGAP1, DDX39B, RPP21, EIF3D, NUP93, NUP153",0.151
"6","DNA replication",0,0,0.002,35,7,2,"PCNA, POLE3","POLD3, POLE2, PRIM1, RFC5, RPA1",0.243
"7","Purine metabolism",0,0,0.003,170,14,5,"AK6, POLE3, POLR2E, POLR2I, RRM2","PAICS, POLD3, GUK1, ZNRD1, POLR3K, POLE2, POLR2D, POLR2L, PRIM1",0.22
"8","RNA polymerase",0,0.001,0.01,31,6,2,"POLR2E, POLR2I","ZNRD1, POLR3K, POLR2D, POLR2L",0.263
"9","Nucleotide excision repair",0,0.001,0.012,46,7,3,"ERCC2, PCNA, POLE3","POLD3, POLE2, RFC5, RPA1",0.29
"10","Proteasome",0,0.008,0.077,44,6,1,"PSMA6","PSMA4, PSMB3, PSMB4, PSMC1, PSMC3",0.152
"11","Protein export",0.001,0.025,0.27,22,4,0,"","SEC61A1, HSPA5, SRP9, SRP19",0.091
"12","Cell cycle",0.001,0.025,0.317,124,9,3,"MYC, PCNA, CCND3","RBL2, YWHAH, CDC45, CDC16, PKMYT1, CDC20",0.203
"13","Mismatch repair",0.001,0.025,0.322,23,4,1,"PCNA","POLD3, RFC5, RPA1",0.212
"14","Aminoacyl-tRNA biosynthesis",0.002,0.037,0.519,43,5,2,"FARSB, YARS","NARS, SARS2, IARS2",0.258
"15","Base excision repair",0.005,0.084,1,33,4,2,"PCNA, POLE3","POLD3, POLE2",0.311
