"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Platinum drug resistance",0,0,0,73,4,"FAS, BAK1, CASP8, FADD"
"Apoptosis - multiple species",0,0,0.001,31,3,"BAK1, CASP8, FADD"
"Apoptosis",0,0.001,0.002,135,4,"FAS, BAK1, CASP8, FADD"
"Necroptosis",0,0.001,0.003,162,4,"CHMP4B, FAS, CASP8, FADD"
"IL-17 signaling pathway",0,0.005,0.023,91,3,"IL17C, CASP8, FADD"
"TNF signaling pathway",0,0.006,0.038,108,3,"FAS, CASP8, FADD"
"p53 signaling pathway",0.002,0.069,0.521,66,2,"FAS, CASP8"
"RIG-I-like receptor signaling pathway",0.002,0.069,0.553,68,2,"CASP8, FADD"
"Toll-like receptor signaling pathway",0.005,0.136,1,102,2,"CASP8, FADD"
"Non-alcoholic fatty liver disease (NAFLD)",0.01,0.24,1,144,2,"FAS, CASP8"
"NOD-like receptor signaling pathway",0.012,0.281,1,164,2,"CASP8, FADD"
"Cytokine-cytokine receptor interaction",0.03,0.629,1,263,2,"IL17C, FAS"
"Type I diabetes mellitus",0.044,0.836,1,41,1,"FAS"
