"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Platinum drug resistance",0,0,0,73,4,2,"FAS, FADD","BAK1, CASP8",0.277
"2","Apoptosis - multiple species",0,0,0.001,31,3,1,"FADD","BAK1, CASP8",0.215
"3","Apoptosis",0,0.001,0.002,135,4,2,"FAS, FADD","BAK1, CASP8",0.265
"4","Necroptosis",0,0.001,0.003,162,4,2,"FAS, FADD","CHMP4B, CASP8",0.262
"5","IL-17 signaling pathway",0,0.005,0.023,91,3,1,"FADD","IL17C, CASP8",0.183
"6","TNF signaling pathway",0,0.006,0.038,108,3,2,"FAS, FADD","CASP8",0.347
"7","p53 signaling pathway",0.002,0.069,0.521,66,2,1,"FAS","CASP8",0.265
"8","RIG-I-like receptor signaling pathway",0.002,0.069,0.553,68,2,1,"FADD","CASP8",0.265
"9","Toll-like receptor signaling pathway",0.005,0.136,1,102,2,1,"FADD","CASP8",0.26
"10","Non-alcoholic fatty liver disease (NAFLD)",0.01,0.24,1,144,2,1,"FAS","CASP8",0.257
"11","NOD-like receptor signaling pathway",0.012,0.281,1,164,2,1,"FADD","CASP8",0.256
"12","Cytokine-cytokine receptor interaction",0.03,0.629,1,263,2,1,"FAS","IL17C",0.254
"13","Type I diabetes mellitus",0.044,0.836,1,41,1,1,"FAS","",0.512
