"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"4243",11609,"Agtr2","HighConf","Yes",NA,"Cxcl10, Cxcl5, Bdkrb1, Saa1, Saa2, Ccr5, Kng2","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), Complement and coagulation cascades (2), IL-17 signaling pathway (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1)"
"5941",12035,"Bcat1","HighConf","Yes","Valine, leucine and isoleucine biosynthesis",NA,NA
"5964",12051,"Bcl3","HighConf","Yes","TNF signaling pathway",NA,NA
"5982",12061,"Bdkrb1","HighConf","Yes","Complement and coagulation cascades","Saa1, Kng2, Agtr2, Cxcl10, Cxcl5, Tacr1, Saa2, Ccr5","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), IL-17 signaling pathway (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), Complement and coagulation cascades (1)"
"7128",20307,"Ccl8","HighConf","Yes","Cytokine-cytokine receptor interaction, Chemokine signaling pathway","Ccr5","Chemokine signaling pathway (1), Cytokine-cytokine receptor interaction (1)"
"7165",12774,"Ccr5","HighConf","Yes","Cytokine-cytokine receptor interaction, Chemokine signaling pathway","Saa2, Bdkrb1, Saa1, Kng2, Agtr2, Cxcl10, Cxcl5, Ccl8","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), IL-17 signaling pathway (2), Complement and coagulation cascades (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1)"
"7553",12630,"Cfi","HighConf","Yes","Complement and coagulation cascades",NA,NA
"7956",12816,"Col12a1","MedConf","Yes","Protein digestion and absorption","Col3a1, Col5a1, Col1a1, Col5a2, Col14a1","Protein digestion and absorption (5), AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1)"
"7958",12818,"Col14a1","MedConf","Yes","Protein digestion and absorption","Col5a2, Col12a1, Col3a1, Col5a1, Mmp10, Mmp3, Mmp2, Mmp13, Col1a1","Protein digestion and absorption (5), Relaxin signaling pathway (4), AGE-RAGE signaling pathway in diabetic complications (3), IL-17 signaling pathway (2), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1), TNF signaling pathway (1)"
"7964",12842,"Col1a1","MedConf","Yes","Protein digestion and absorption, ECM-receptor interaction, Focal adhesion, PI3K-Akt signaling pathway, Relaxin signaling pathway, AGE-RAGE signaling pathway in diabetic complications","Col14a1, Col5a2, Col12a1, Col3a1, Col5a1, P3h1, Itga11","Protein digestion and absorption (5), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1), AGE-RAGE signaling pathway in diabetic complications (1), Relaxin signaling pathway (1)"
"7975",12825,"Col3a1","HighConf","Yes","Protein digestion and absorption, Relaxin signaling pathway, AGE-RAGE signaling pathway in diabetic complications","Col5a1, P3h1, Itga11, Col14a1, Col1a1, Col12a1, Col5a2","Protein digestion and absorption (5), PI3K-Akt signaling pathway (2), Focal adhesion (2), ECM-receptor interaction (2), AGE-RAGE signaling pathway in diabetic complications (1), Relaxin signaling pathway (1)"
"7983",12831,"Col5a1","HighConf","Yes","Protein digestion and absorption","Col1a1, Col14a1, Col3a1, Itga11, Col5a2, Col12a1","Protein digestion and absorption (5), AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2), PI3K-Akt signaling pathway (2), Focal adhesion (2), ECM-receptor interaction (2)"
"7984",12832,"Col5a2","MedConf","Yes","Protein digestion and absorption","Col12a1, Col3a1, Col5a1, Col1a1, Itga11, Col14a1","Protein digestion and absorption (5), AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2), PI3K-Akt signaling pathway (2), Focal adhesion (2), ECM-receptor interaction (2)"
"8394",15945,"Cxcl10","HighConf","Yes","IL-17 signaling pathway, Cytokine-cytokine receptor interaction, TNF signaling pathway, Cytosolic DNA-sensing pathway, Chemokine signaling pathway","Cxcl5, Kng2, Bdkrb1, Saa2, Saa1, Ccr5, Agtr2","Complement and coagulation cascades (2), Chemokine signaling pathway (2), Cytokine-cytokine receptor interaction (2), IL-17 signaling pathway (1)"
"8404",20311,"Cxcl5","HighConf","Yes","IL-17 signaling pathway, Cytokine-cytokine receptor interaction, Chemokine signaling pathway","Agtr2, Bdkrb1, Saa2, Saa1, Kng2, Cxcl10, Ccr5","Chemokine signaling pathway (2), Cytokine-cytokine receptor interaction (2), Complement and coagulation cascades (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), IL-17 signaling pathway (1)"
"13516",13717,"Eln","MedConf","Yes","Protein digestion and absorption",NA,NA
"14682",14456,"Gas6","MedConf","Yes",NA,"Timp1, Kng2","Complement and coagulation cascades (1), HIF-1 signaling pathway (1)"
"15769",15251,"Hif1a","MedConf","Yes","HIF-1 signaling pathway",NA,NA
"16263",16000,"Igf1","MedConf","Yes","Focal adhesion, PI3K-Akt signaling pathway, HIF-1 signaling pathway",NA,NA
"16356",16156,"Il11","HighConf","Yes","Cytokine-cytokine receptor interaction","Il4ra","Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1)"
"16420",77125,"Il33","HighConf","Yes","Cytosolic DNA-sensing pathway",NA,NA
"16425",16190,"Il4ra","HighConf","Yes","PI3K-Akt signaling pathway, Cytokine-cytokine receptor interaction","Socs1, Il11","Cytokine-cytokine receptor interaction (1)"
"16731",319480,"Itga11","MedConf","Yes","ECM-receptor interaction, Focal adhesion, PI3K-Akt signaling pathway","Col1a1, Col5a2, Col3a1, Col5a1, Tnn, Lamb1, Thbs2, Thbs4","PI3K-Akt signaling pathway (5), Focal adhesion (5), ECM-receptor interaction (5), Protein digestion and absorption (4), AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2)"
"17224",385643,"Kng2","HighConf","Yes","Complement and coagulation cascades","Agtr2, Cxcl10, Cxcl5, Tacr1, Gas6, Saa1, Bdkrb1, Ccr5, Timp1, Saa2","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), IL-17 signaling pathway (2), HIF-1 signaling pathway (1), Complement and coagulation cascades (1), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1)"
"17411",16777,"Lamb1","MedConf","Yes","ECM-receptor interaction, Focal adhesion, PI3K-Akt signaling pathway","Itga11, Mmp14","TNF signaling pathway (1), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1)"
"18141",17174,"Masp1","HighConf","Yes","Complement and coagulation cascades",NA,NA
"18527",17384,"Mmp10","HighConf","Yes",NA,"Mmp3, Mmp13, Col14a1, Mmp14, Mmp2","Relaxin signaling pathway (2), TNF signaling pathway (2), IL-17 signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), Protein digestion and absorption (1)"
"18530",17386,"Mmp13","HighConf","Yes","Relaxin signaling pathway, IL-17 signaling pathway","Col14a1, Mmp14, Mmp10, Mmp3, Mmp2","TNF signaling pathway (2), IL-17 signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Relaxin signaling pathway (1), Protein digestion and absorption (1)"
"18531",17387,"Mmp14","MedConf","Yes","TNF signaling pathway","Mmp2, Mmp10, Mmp13, Lamb1, Mmp3","IL-17 signaling pathway (2), Relaxin signaling pathway (2), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1), TNF signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1)"
"18538",17390,"Mmp2","HighConf","Yes","Relaxin signaling pathway, AGE-RAGE signaling pathway in diabetic complications","Mmp10, Mmp3, Mmp13, Col14a1, Mmp14","TNF signaling pathway (2), IL-17 signaling pathway (2), Protein digestion and absorption (1), Relaxin signaling pathway (1)"
"18546",17392,"Mmp3","HighConf","Yes","IL-17 signaling pathway, TNF signaling pathway","Mmp13, Col14a1, Mmp14, Mmp2, Mmp10","Relaxin signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), TNF signaling pathway (1), Protein digestion and absorption (1), IL-17 signaling pathway (1)"
"19559",18126,"Nos2","HighConf","Yes","Relaxin signaling pathway, HIF-1 signaling pathway, Arginine and proline metabolism",NA,NA
"19573",50490,"Nox4","HighConf","Yes","AGE-RAGE signaling pathway in diabetic complications",NA,NA
"21069",56401,"P3h1","MedConf","Yes",NA,"Col3a1, Col1a1","AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2), Protein digestion and absorption (2), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1)"
"21075",320452,"P4ha3","HighConf","Yes","Arginine and proline metabolism",NA,NA
"23938",20208,"Saa1","HighConf","Yes",NA,"Kng2, Agtr2, Cxcl10, Cxcl5, Tacr1, Saa2, Bdkrb1, Ccr5","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), Complement and coagulation cascades (2), IL-17 signaling pathway (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1)"
"23939",20209,"Saa2","HighConf","Yes",NA,"Bdkrb1, Saa1, Kng2, Agtr2, Cxcl10, Cxcl5, Tacr1, Ccr5","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), IL-17 signaling pathway (2), Complement and coagulation cascades (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1)"
"25163",12703,"Socs1","MedConf","Yes",NA,"Il4ra","Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1)"
"26206",21336,"Tacr1","MedConf","Yes",NA,"Saa1, Saa2, Bdkrb1, Kng2","Complement and coagulation cascades (2)"
"26716",21826,"Thbs2","MedConf","Yes","ECM-receptor interaction, Focal adhesion, PI3K-Akt signaling pathway","Itga11, Thbs4","PI3K-Akt signaling pathway (2), Focal adhesion (2), ECM-receptor interaction (2)"
"26718",21828,"Thbs4","MedConf","Yes","ECM-receptor interaction, Focal adhesion, PI3K-Akt signaling pathway","Thbs2, Itga11","PI3K-Akt signaling pathway (2), Focal adhesion (2), ECM-receptor interaction (2)"
"26791",21857,"Timp1","HighConf","Yes","HIF-1 signaling pathway","Kng2, Gas6","Complement and coagulation cascades (1)"
"27194",329278,"Tnn","HighConf","Yes","ECM-receptor interaction, Focal adhesion, PI3K-Akt signaling pathway","Itga11","PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1)"
"27951",22262,"Uox","HighConf","Yes","Caffeine metabolism",NA,NA
"28649",58203,"Zbp1","MedConf","Yes","Cytosolic DNA-sensing pathway",NA,NA
