"Pathway","pVal","pValFDR","pValBonferroni","Genes","TRIAGEhits","HitGeneNames"
"RNA transport",0,0,0,150,30,"POP7, PAIP1, CLNS1A, RPP25L, EEF1A1, EIF1AX, EIF2B1, EIF4E, EIF4EBP2, NCBP2, NUP160, NUP62, RGPD4, NUP88, NUP54, NUP133, NUP107, THOC2, RANBP2, RANGAP1, SENP2, XPO1, NUP85, RGPD5, GEMIN2, EIF3G, EIF3H, EIF3I, NUP155, NUP153"
"Ribosome",0,0,0,125,27,"RPL10A, RSL24D1, RPL4, RPL6, RPL7, RPL7A, RPL9, RPL10, RPL17, RPL18, RPL18A, RPL27A, RPL32, RPL37, RPLP0, RPS4X, RPS6, RPS8, RPS10, RPS15A, RPS18, RPS20, RPS23, RPS27, MRPL1, RPL23, MRPL19"
"Lysine degradation",0,0.004,0.013,58,12,"PRDM7, ALDH1B1, HADHA, ACAT2, KMT5B, PLOD1, SUV39H1, WHSC1, EHMT1, SETD7, PLOD3, KMT2B"
"EGFR tyrosine kinase inhibitor resistance",0,0.004,0.017,78,14,"EGF, EGFR, EIF4E, AKT1, FGF2, MTOR, GRB2, JAK1, SHC4, PDGFRA, PTEN, RPS6, RPS6KB1, NRG2"
"Spliceosome",0,0.005,0.027,123,18,"SF3A1, CHERP, SLU7, SRSF8, NCBP2, SF3B3, LSM3, TRA2A, HNRNPC, HNRNPU, PRPF40A, RBM22, THOC2, LSM2, SNRPA1, SNRPB, SF3A2, PRPF3"
"Ribosome biogenesis in eukaryotes",0.001,0.023,0.147,74,12,"POP7, NOP56, UTP14A, WDR36, RPP25L, CSNK2A2, FBL, MDN1, NOP58, HEATR1, XPO1, IMP4"
"PI3K-Akt signaling pathway",0.001,0.023,0.16,336,33,"CHRM2, COL4A4, LPAR1, EGF, EGFR, EIF4E, CRTC2, AKT1, FGF2, FGF9, FGF14, VEGFD, FLT1, FLT4, MTOR, GHR, GRB2, GYS1, IFNA5, ITGA4, JAK1, MTCP1, PCK2, PDGFRA, GNG2, PPP2R2A, PTEN, RELA, RPS6, RPS6KB1, IKBKG, CREB5, FGF19"
"RNA polymerase",0.001,0.028,0.231,30,7,"POLR3F, POLR3A, TWISTNB, ZNRD1, POLR2E, POLR2J, POLR3D"
"Pyruvate metabolism",0.001,0.028,0.251,39,8,"ALDH1B1, ACAT2, MDH1, MDH2, PC, PCK2, PDHA2, LDHAL6B"
"Focal adhesion",0.002,0.062,0.618,198,21,"COL4A4, EGF, EGFR, AKT1, VEGFD, FLNC, FLT1, FLT4, PIP5K1C, GRB2, RAPGEF1, MYLK4, ITGA4, SHC4, PAK2, PDGFRA, PTEN, RAP1B, CAV2, MYL10, CDC42"
"Ras signaling pathway",0.005,0.089,1,223,22,"EGF, EGFR, AKT1, FGF2, FGF9, FGF14, VEGFD, RRAS2, FLT1, FLT4, GRB2, SHC4, PAK2, PDGFRA, PLA2G2A, GNG2, RAP1B, RELA, TIAM1, IKBKG, FGF19, CDC42"
"mTOR signaling pathway",0.005,0.089,1,144,16,"RRAGB, DVL2, EIF4E, AKT1, MTOR, GRB2, ATP6V1H, PTEN, RPS6, RPS6KB1, WNT1, WNT11, WNT10A, FZD6, ATP6V1E2, DEPDC5"
"Regulation of actin cytoskeleton",0.005,0.089,1,210,21,"ARPC5, ARPC1A, CHRM2, EGF, EGFR, FGF2, FGF9, FGF14, RRAS2, ARHGEF12, PIP5K1C, MYLK4, ITGA4, MOS, PAK2, PDGFRA, SSH1, TIAM1, MYL10, FGF19, CDC42"
