"Pathway","pVal","pValFDR","pValBonferroni","Genes","TRIAGEhits","HitGeneNames"
"RNA transport",0,0.002,0.002,150,12,"CLNS1A, NUP160, NUP133, NUP107, THOC2, RANBP2, NUP85, RGPD5, GEMIN2, EIF3H, NUP155, NUP153"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.008,0.559,1,24,3,"PIGK, PIGH, PIGY"
"N-Glycan biosynthesis",0.009,0.559,1,47,4,"DDOST, STT3A, MGAT1, DPM1"
"Antifolate resistance",0.015,0.559,1,30,3,"SLC46A1, RELA, IKBKG"
"RNA polymerase",0.015,0.559,1,30,3,"POLR3F, POLR3A, ZNRD1"
"Autophagy - other",0.016,0.559,1,31,3,"ATG7, GABARAPL2, ATG12"
"Autophagy - animal",0.022,0.559,1,126,6,"RRAGB, ATG7, GABARAPL2, AKT1, ATG16L2, ATG12"
"Endocytosis",0.022,0.559,1,237,9,"ARPC1A, AGAP2, AP2M1, EGFR, PIP5K1C, ARF1, CXCR4, CAV2, HGS"
"Cytosolic DNA-sensing pathway",0.022,0.559,1,62,4,"POLR3F, POLR3A, RELA, IKBKG"
"NOD-like receptor signaling pathway",0.024,0.559,1,164,7,"GABARAPL2, CARD16, JAK1, DHX33, RELA, IKBKG, ATG12"
"FoxO signaling pathway",0.025,0.559,1,129,6,"GABARAPL2, AGAP2, EGF, EGFR, AKT1, ATG12"
"MAPK signaling pathway",0.032,0.592,1,253,9,"EGF, EGFR, AKT1, MOS, TAOK1, RAP1B, RELA, CACNG1, IKBKG"
"T cell receptor signaling pathway",0.032,0.592,1,102,5,"AKT1, LCP2, RELA, IKBKG, CD4"
"RIG-I-like receptor signaling pathway",0.033,0.592,1,70,4,"DDX3X, RELA, IKBKG, ATG12"
"RNA degradation",0.04,0.658,1,74,4,"MPHOSPH6, LSM3, EXOSC3, EXOSC5"
"EGFR tyrosine kinase inhibitor resistance",0.047,0.726,1,78,4,"EGF, EGFR, AKT1, JAK1"
"Focal adhesion",0.057,0.831,1,198,7,"EGF, EGFR, AKT1, PIP5K1C, RAPGEF1, RAP1B, CAV2"
