"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","NF-kappa B signaling pathway",0,0.008,0.015,92,7,3,"BLNK, IL1R1, BCL2","BIRC2, ICAM1, LCK, ZAP70",0.252
"2","Tight junction",0,0.008,0.02,167,9,3,"NEDD4L, HSPA4, TUBA1A","CLDN4, ITGB1, NF2, CLDN25, TUBA4A, CLDN2",0.194
"3","Cell adhesion molecules (CAMs)",0,0.008,0.029,137,8,1,"CD86","CLDN4, ICAM1, ITGB1, NCAM1, CLDN25, CLDN2, CD4",0.092
"4","Platinum drug resistance",0,0.008,0.034,73,6,1,"BCL2","ERCC1, GSTA5, BIRC2, MDM2, BAX",0.124
"5","Neurotrophin signaling pathway",0,0.014,0.072,118,7,1,"BCL2","SHC4, MATK, NGFR, BAX, BDNF, CALML4",0.101
"6","Apoptosis - multiple species",0,0.014,0.084,31,4,1,"BCL2","BIRC2, NGFR, BAX",0.19
"7","Ras signaling pathway",0.001,0.02,0.161,221,9,2,"GRIN1, RASAL1","EFNA5, GNB3, SHC4, NGFR, ZAP70, FGF23, CALML4",0.131
"8","Apoptosis",0.001,0.02,0.163,135,7,3,"ENDOG, BCL2, TUBA1A","FOS, BIRC2, BAX, TUBA4A",0.24
"9","T cell receptor signaling pathway",0.001,0.021,0.188,100,6,0,"","MAP3K8, FOS, IL5, LCK, ZAP70, CD4",0.03
"10","Leukocyte transendothelial migration",0.001,0.03,0.31,110,6,0,"","CLDN4, PTK2B, ICAM1, ITGB1, CLDN25, CLDN2",0.027
"11","cAMP signaling pathway",0.001,0.03,0.333,197,8,1,"GRIN1","EP300, FOS, HTR1E, ACOX1, BDNF, TNNI3, CALML4",0.083
"12","Cytokine-cytokine receptor interaction",0.002,0.043,0.547,263,9,6,"EPOR, XCR1, IFNA16, IL1R1, IL17RC, TNFRSF8","AMHR2, IL5, NGFR",0.35
"13","Osteoclast differentiation",0.002,0.043,0.597,125,6,3,"SIRPA, BLNK, IL1R1","LILRB4, FOS, LCK",0.274
"14","Natural killer cell mediated cytotoxicity",0.002,0.043,0.597,125,6,1,"IFNA16","PTK2B, ICAM1, LCK, SHC4, ZAP70",0.107
"15","Th1 and Th2 cell differentiation",0.003,0.049,0.741,90,5,0,"","FOS, IL5, LCK, ZAP70, CD4",0.028
"16","Hematopoietic cell lineage",0.003,0.049,0.778,91,5,2,"EPOR, IL1R1","IL5, CD4, CD9",0.227
"17","PI3K-Akt signaling pathway",0.004,0.052,0.88,337,10,3,"EPOR, IFNA16, BCL2","COL6A2, EFNA5, GNB3, ITGB1, MDM2, NGFR, FGF23",0.165
"18","Endocrine resistance",0.004,0.052,0.937,95,5,1,"BCL2","FOS, SHC4, MDM2, BAX",0.126
"19","Circadian entrainment",0.004,0.052,0.98,96,5,1,"GRIN1","FOS, GNB3, PER1, CALML4",0.126
"20","Th17 cell differentiation",0.006,0.072,1,105,5,1,"IL1R1","FOS, LCK, ZAP70, CD4",0.124
"21","Jak-STAT signaling pathway",0.006,0.074,1,152,6,3,"EPOR, IFNA16, BCL2","EP300, IL5, PTPN2",0.27
"22","Rap1 signaling pathway",0.007,0.083,1,207,7,1,"GRIN1","EFNA5, PFN3, ITGB1, NGFR, FGF23, CALML4",0.088
"23","EGFR tyrosine kinase inhibitor resistance",0.011,0.118,1,79,4,2,"NRG1, BCL2","SHC4, BAX",0.275
"24","AGE-RAGE signaling pathway in diabetic complications",0.022,0.225,1,97,4,1,"BCL2","ICAM1, NOX4, BAX",0.146
"25","Toll-like receptor signaling pathway",0.025,0.254,1,102,4,2,"IFNA16, CD86","MAP3K8, FOS",0.27
"26","TNF signaling pathway",0.031,0.293,1,108,4,0,"","MAP3K8, FOS, BIRC2, ICAM1",0.019
"27","Necroptosis",0.032,0.298,1,162,5,3,"H2AFX, IFNA16, BCL2","BIRC2, BAX",0.315
"28","NOD-like receptor signaling pathway",0.034,0.301,1,164,5,2,"IFNA16, BCL2","NLRP7, BIRC2, TRIP6",0.215
"29","Long-term potentiation",0.037,0.318,1,67,3,1,"GRIN1","EP300, CALML4",0.189
"30","Antigen processing and presentation",0.038,0.319,1,68,3,1,"HSPA4","CIITA, CD4",0.189
"31","Prolactin signaling pathway",0.041,0.332,1,70,3,0,"","FOS, GCK, SHC4",0.021
"32","RNA polymerase",0.045,0.352,1,31,2,2,"TWISTNB, POLR3K","",0.532
