"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"MAPK signaling pathway",0,0,0,252,75,"RASGRP1, RASGRP2, CRK, MAPK14, DAXX, GADD45A, DDIT3, DUSP2, DUSP3, DUSP4, ELK1, AKT1, FGF2, FGF5, FGFR2, RRAS2, FLNA, MAPK8IP3, FLNB, FLNC, FOS, RASGRP3, FGF22, CACNG5, HRAS, HSPA1A, HSPB1, ARRB1, MAPT, MYC, GADD45B, ATF4, NFATC1, NFATC3, NFKB2, NRAS, NTRK2, PAK1, ECSIT, PPP3CB, PPP3R1, PRKCA, PRKCB, GNG12, MAPK11, MAPK9, MAPK10, MAP2K2, MAP2K7, MAP4K2, RAC1, RAC3, CACNG7, CACNG6, RPS6KA2, RPS6KA3, MAP2K4, TGFB1, TGFB3, TGFBR2, CACNA1A, CACNA1E, MAP3K12, CACNB1, CACNB2, MKNK1, PLA2G4C, LAMTOR3, FGF18, FGF16, CACNA1H, CACNA1G, RPS6KA5, CACNA2D4, MAP4K4"
"ErbB signaling pathway",0,0,0,85,38,"NRG3, CRK, ELK1, ERBB2, ERBB3, EREG, AKT1, CBLC, MTOR, ABL1, NRG1, HRAS, ARAF, MYC, NCK1, NRAS, PAK1, PIK3CB, PIK3CD, PLCG2, PRKCA, PRKCB, MAPK9, MAPK10, MAP2K2, MAP2K7, PAK5, PTK2, RPS6KB1, RPS6KB2, MAP2K4, SRC, STAT5A, BTC, CAMK2D, CAMK2G, NCK2, CBL"
"PI3K-Akt signaling pathway",0,0,0,336,98,"CDK2, LAMC3, GNB5, CDC37, PIK3AP1, COL4A1, COL4A4, COL6A2, COL9A2, COMP, CSF3R, CSH2, CREB3L4, EFNA1, EFNA3, EFNA5, CRTC2, EPOR, AKT1, F2R, FGF2, FGF5, FGFR2, VEGFD, LAMB4, FOXO3, FN1, MTOR, GHR, FGF22, GNB1, GNGT1, PPP2R3B, ANGPT1, HGF, HRAS, HSP90AA1, IFNA1, IFNA4, IFNA5, IFNA6, IFNA10, IFNAR1, IFNAR2, IL2RA, IL2RG, IL4R, ITGA6, ITGA7, ITGB4, JAK2, JAK3, KDR, LAMB1, LAMB2, MYC, ATF4, NRAS, OSM, PCK1, ANGPT4, PIK3CB, PIK3CD, GNG2, DDIT4, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R2C, PPP2R5C, PPP2R5D, PRKAA1, PRKAA2, PRKCA, GNG12, MAP2K2, PTK2, RAC1, RBL2, CCND1, BCL2, RPS6, RPS6KB1, RPS6KB2, MLST8, CREB3L2, BRCA1, THBS1, VEGFA, YWHAE, TCL1A, CASP9, ITGA10, FGF18, FGF16, LPAR2, OSMR"
"Adrenergic signaling in cardiomyocytes",0,0,0,143,50,"ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, MAPK14, ADRA1D, ADRA1B, CREB3L4, ADRB1, AGTR2, AKT1, PLCB1, CACNG5, PPP2R3B, MYH7, ATF4, ATP1A2, ATP1A4, ATP2B1, PPP1CA, PPP1CB, PPP1R1A, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R2C, PPP2R5C, PPP2R5D, PRKCA, MAPK11, CACNG7, CACNG6, BCL2, SCN1B, CREB3L2, SLC8A1, ACTC1, TNNC1, TPM1, CACNB1, CACNB2, CALML3, CAMK2D, CAMK2G, RPS6KA5, CACNA2D4"
"Jak-STAT signaling pathway",0,0,0,155,50,"IL24, CISH, IL22RA2, CSF3R, CSH2, IFNLR1, EPOR, AKT1, MTOR, GHR, IFNL2, HRAS, IFNE, IFNA1, IFNA4, IFNA5, IFNA6, IFNA10, IFNAR1, IFNAR2, IFNG, IFNGR2, IL2RA, IL2RG, IL4R, IL5, IL5RA, IL9R, IL13RA1, JAK2, JAK3, MPL, MYC, OSM, IL23A, PIK3CB, PIM1, PIK3CD, IL17D, IFNK, IL22RA1, CCND1, BCL2, CRLF2, STAT3, STAT5A, STAT6, STAM, OSMR, SOCS6"
"Dopaminergic synapse",0,0,0,130,48,"GNB5, ADCY5, COMT, MAPK14, CREB3L4, AKT1, PLCB1, FOS, GNAL, GNB1, GNGT1, PPP2R3B, GRIA1, GRIA2, GRIA4, GRIN2B, ITPR2, KCNJ5, KIF5B, MAOB, ATF4, CALY, GNG2, PPP1CA, PPP1CB, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R2C, PPP2R5C, PPP2R5D, PPP3CB, PRKCA, PRKCB, GNG12, MAPK11, MAPK9, MAPK10, SCN1A, CREB3L2, SLC18A1, TH, CACNA1A, CALML3, CAMK2D, CAMK2G, PPP1R1B"
"Relaxin signaling pathway",0,0,0,130,44,"GNB5, ADCY2, ADCY3, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, COL4A1, COL4A4, MAPK14, CREB3L4, AKT1, VEGFD, PLCB1, FOS, GNB1, GNGT1, HRAS, RXFP4, ARRB1, SMAD2, MMP2, MMP13, ATF4, NFKBIA, NOS1, NRAS, PIK3CB, PIK3CD, GNG2, PRKCA, GNG12, MAPK11, MAPK9, MAPK10, MAP2K2, MAP2K7, MAP2K4, CREB3L2, SRC, TGFB1, TGFBR2, VEGFA"
"AGE-RAGE signaling pathway in diabetic complications",0,0,0,99,38,"COL4A1, COL4A4, MAPK14, AKT1, VEGFD, FOXO1, PLCB1, FN1, HRAS, JAK2, SMAD2, MMP2, NFATC1, NRAS, SERPINE1, PIK3CB, PIM1, PIK3CD, PLCD1, PLCG2, PRKCA, PRKCB, PRKCD, PRKCE, MAPK11, MAPK9, MAPK10, RAC1, CCND1, BCL2, STAT3, STAT5A, TGFB1, TGFB3, TGFBR2, THBD, VCAM1, VEGFA"
"Wnt signaling pathway",0,0,0,140,56,"APC2, FZD10, CSNK1A1L, CSNK2B, CTBP2, DVL2, DVL3, DAAM1, PLCB1, FRAT2, DAAM2, CACYBP, DKK4, DKK2, LRP6, MMP7, MYC, NFATC1, NFATC2, NFATC3, SERPINF1, WNT4, PPP3CB, PPP3R1, PRKCA, PRKCB, MAPK9, MAPK10, PSEN1, CHD8, RAC1, RAC3, CCND1, SFRP5, TBL1X, WNT1, WNT3, WNT6, WNT7A, WNT8A, WNT2B, TBL1XR1, FZD3, FOSL1, WNT5B, CAMK2D, CAMK2G, AXIN2, FZD1, FZD6, FZD9, NKD1, NKD2, RUVBL1, BTRC, RBX1"
"Necroptosis",0,0,0,162,58,"PARP2, RBCK1, RIPK3, FAF1, SPATA2L, CHMP4B, PARP4, MLKL, GLUL, PYCARD, SLC25A5, SLC25A6, H2AFX, H2AFZ, BIRC2, BIRC3, HSP90AA1, IFNA1, IFNA4, IFNA5, IFNA6, IFNA10, IFNAR1, IFNAR2, IFNG, IFNGR2, JAK2, JAK3, H2AFB2, PPIA, PPID, TRPM7, MAPK9, MAPK10, PYGB, PYGL, BCL2, STAT3, STAT5A, STAT6, VDAC1, ZBP1, CAMK2D, CAMK2G, CAPN1, HIST1H2AI, HIST1H2AK, HIST1H2AJ, HIST1H2AC, HIST2H2AC, H2AFB3, PLA2G4C, TNFSF10, TNFRSF10B, SQSTM1, HIST3H2A, H2AFV, H2AFY"
