"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Lysosome",0,0,0,122,10,"NPC2, CTSB, CTSH, CTSZ, GM2A, IGF2R, LIPA, ATP6AP1, ACP5, LGMN"
"Chemokine signaling pathway",0,0.016,0.032,183,6,"HCK, CCL4L1, CCL3, CCL5, CCL20, SRC"
"NOD-like receptor signaling pathway",0.001,0.062,0.186,166,5,"NAMPT, GABARAP, CTSB, CCL5, TXN"
"Cytosolic DNA-sensing pathway",0.003,0.146,0.665,63,3,"DDX58, CCL4L1, CCL5"
"Apoptosis",0.003,0.146,0.729,136,4,"CTSB, CTSH, CTSZ, LMNB1"
"Endocytosis",0.004,0.161,0.969,241,5,"DAB2, IGF2R, SRC, TFRC, SNX3"
"Hematopoietic cell lineage",0.008,0.292,1,94,3,"TFRC, CD1A, CD1C"
"Toll-like receptor signaling pathway",0.011,0.337,1,104,3,"CCL4L1, CCL3, CCL5"
"Tryptophan metabolism",0.013,0.338,1,39,2,"IL4I1, IDO1"
"Ferroptosis",0.014,0.338,1,40,2,"HMOX1, TFRC"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.022,0.502,1,5,1,"IL4I1"
"Cytokine-cytokine receptor interaction",0.029,0.585,1,266,4,"CCL4L1, CCL3, CCL5, CCL20"
"Mitophagy - animal",0.032,0.585,1,63,2,"GABARAP, SRC"
"Tight junction",0.034,0.585,1,161,3,"SRC, CD1A, CD1C"
"Riboflavin metabolism",0.035,0.585,1,8,1,"ACP5"
"Antigen processing and presentation",0.04,0.618,1,71,2,"CTSB, LGMN"
