"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"NF-kappa B signaling pathway",0,0,0,93,8,"ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40"
"Ferroptosis",0,0.003,0.005,40,5,"ACSL1, ACSL4, FTH1, HMOX1, TFRC"
"TNF signaling pathway",0,0.003,0.009,108,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"AGE-RAGE signaling pathway in diabetic complications",0.002,0.083,0.385,99,5,"ICAM1, IL1A, IL1B, NFKB1, STAT5A"
"Toll-like receptor signaling pathway",0.002,0.083,0.479,104,5,"IL1B, CCL4L1, NFKB1, CCL5, CD40"
"Cytosolic DNA-sensing pathway",0.002,0.083,0.507,63,4,"IL1B, CCL4L1, NFKB1, CCL5"
"Adipocytokine signaling pathway",0.003,0.083,0.709,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"NOD-like receptor signaling pathway",0.003,0.083,0.722,166,6,"NAMPT, GBP1, IL1B, NFKB1, CCL5, TXN"
"Alanine, aspartate and glutamate metabolism",0.003,0.083,0.818,35,3,"IL4I1, GFPT1, GLS"
"PPAR signaling pathway",0.003,0.083,0.828,72,4,"FABP5, ACSL1, ACSL4, CD36"
"Tryptophan metabolism",0.004,0.095,1,39,3,"IL4I1, IDO1, KYNU"
"Osteoclast differentiation",0.005,0.095,1,127,5,"IL1A, IL1B, NFKB1, NFKB2, ACP5"
"Fatty acid biosynthesis",0.005,0.103,1,13,2,"ACSL1, ACSL4"
"IL-17 signaling pathway",0.007,0.131,1,90,4,"IL1B, NFKB1, PTGS2, CCL20"
"Hematopoietic cell lineage",0.009,0.142,1,94,4,"IL1A, IL1B, TFRC, CD36"
"Mineral absorption",0.009,0.145,1,51,3,"FTH1, HMOX1, MT2A"
"HIF-1 signaling pathway",0.01,0.145,1,98,4,"HMOX1, NFKB1, PFKFB3, TFRC"
"RIG-I-like receptor signaling pathway",0.022,0.307,1,70,3,"NFKB1, IFIH1, ISG15"
"Cytokine-cytokine receptor interaction",0.026,0.344,1,266,6,"IL1A, IL1B, CCL4L1, CCL5, CCL20, CD40"
"Antifolate resistance",0.029,0.354,1,31,2,"IL1B, NFKB1"
"Peroxisome",0.032,0.354,1,81,3,"ACSL1, ACSL4, SOD2"
"Non-alcoholic fatty liver disease (NAFLD)",0.033,0.354,1,141,4,"IL1A, IL1B, NDUFA4, NFKB1"
"Fructose and mannose metabolism",0.033,0.354,1,33,2,"PFKFB3, FBP2"
"D-Glutamine and D-glutamate metabolism",0.034,0.354,1,4,1,"GLS"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.042,0.423,1,5,1,"IL4I1"
"Necroptosis",0.051,0.484,1,162,4,"FTH1, IL1A, IL1B, STAT5A"
"Type I diabetes mellitus",0.053,0.487,1,43,2,"IL1A, IL1B"
"Fatty acid degradation",0.055,0.489,1,44,2,"ACSL1, ACSL4"
"Insulin resistance",0.063,0.519,1,106,3,"GFPT1, NFKB1, CD36"
"Fatty acid metabolism",0.064,0.519,1,48,2,"ACSL1, ACSL4"
"Th17 cell differentiation",0.065,0.519,1,107,3,"IL1B, NFKB1, STAT5A"
"Riboflavin metabolism",0.067,0.522,1,8,1,"ACP5"
"Chemokine signaling pathway",0.073,0.548,1,183,4,"CCL4L1, NFKB1, CCL5, CCL20"
"AMPK signaling pathway",0.085,0.62,1,120,3,"PFKFB3, FBP2, CD36"
"Metabolic pathways",0.095,0.678,1,1229,15,"ADA, NAMPT, ACSL1, ACSL4, PLD3, IL4I1, GFPT1, GLS, HMOX1, IDO1, NDUFA4, ACP5, PTGS2, FBP2, KYNU"
"Cell adhesion molecules (CAMs)",0.114,0.79,1,137,3,"CD274, ICAM1, CD40"
"Prolactin signaling pathway",0.122,0.822,1,70,2,"NFKB1, STAT5A"
"Phagosome",0.133,0.874,1,147,3,"MRC1, TFRC, CD36"
"Phenylalanine metabolism",0.137,0.876,1,17,1,"IL4I1"
"Complement and coagulation cascades",0.146,0.906,1,78,2,"SERPINB2, PLAUR"
"Steroid biosynthesis",0.16,0.946,1,20,1,"LIPA"
"Arginine biosynthesis",0.16,0.946,1,20,1,"GLS"
"MAPK signaling pathway",0.172,0.96,1,252,4,"IL1A, IL1B, NFKB1, NFKB2"
"Longevity regulating pathway",0.176,0.96,1,88,2,"NFKB1, SOD2"
"Salivary secretion",0.179,0.96,1,89,2,"CST3, LYZ"
"Protein export",0.181,0.96,1,23,1,"SRP14"
"Proximal tubule bicarbonate reclamation",0.181,0.96,1,23,1,"GLS"
"Th1 and Th2 cell differentiation",0.188,0.977,1,92,2,"NFKB1, STAT5A"
"Nicotinate and nicotinamide metabolism",0.216,1,1,28,1,"NAMPT"
"Pentose phosphate pathway",0.223,1,1,29,1,"FBP2"
"SNARE interactions in vesicular transport",0.256,1,1,34,1,"STX11"
"Tyrosine metabolism",0.262,1,1,35,1,"IL4I1"
"Oxidative phosphorylation",0.265,1,1,116,2,"NDUFA4, PPA1"
"Lysosome",0.284,1,1,122,2,"LIPA, ACP5"
"Fat digestion and absorption",0.294,1,1,40,1,"CD36"
"Porphyrin and chlorophyll metabolism",0.294,1,1,40,1,"HMOX1"
"Cysteine and methionine metabolism",0.312,1,1,43,1,"IL4I1"
"Ether lipid metabolism",0.312,1,1,43,1,"PLD3"
"Aminoacyl-tRNA biosynthesis",0.318,1,1,44,1,"WARS"
"Apoptosis",0.329,1,1,136,2,"NFKB1, TRAF1"
"Intestinal immune network for IgA production",0.336,1,1,47,1,"CD40"
"Retrograde endocannabinoid signaling",0.339,1,1,139,2,"NDUFA4, PTGS2"
"Amino sugar and nucleotide sugar metabolism",0.342,1,1,48,1,"GFPT1"
"Valine, leucine and isoleucine degradation",0.342,1,1,48,1,"IL4I1"
"Ovarian steroidogenesis",0.347,1,1,49,1,"PTGS2"
"Regulation of lipolysis in adipocytes",0.375,1,1,54,1,"PTGS2"
"Jak-STAT signaling pathway",0.389,1,1,155,2,"PTPN2, STAT5A"
"VEGF signaling pathway",0.397,1,1,58,1,"PTGS2"
"Arachidonic acid metabolism",0.397,1,1,58,1,"PTGS2"
"Cellular senescence",0.398,1,1,158,2,"IL1A, NFKB1"
"Longevity regulating pathway - multiple species",0.418,1,1,62,1,"SOD2"
"Glycolysis / Gluconeogenesis",0.442,1,1,67,1,"FBP2"
"B cell receptor signaling pathway",0.457,1,1,70,1,"NFKB1"
"Ribosome biogenesis in eukaryotes",0.462,1,1,71,1,"UTP18"
"Antigen processing and presentation",0.462,1,1,71,1,"CD74"
"Cardiac muscle contraction",0.466,1,1,72,1,"ATP2A2"
"ECM-receptor interaction",0.498,1,1,79,1,"CD36"
"cAMP signaling pathway",0.512,1,1,197,2,"NFKB1, ATP2A2"
"ErbB signaling pathway",0.524,1,1,85,1,"STAT5A"
"GABAergic synapse",0.536,1,1,88,1,"GLS"
"Fc gamma R-mediated phagocytosis",0.54,1,1,89,1,"MARCKS"
"Pancreatic secretion",0.564,1,1,95,1,"ATP2A2"
"Glycerophospholipid metabolism",0.564,1,1,95,1,"PLD3"
