"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Lysosome",0,0,0,122,13,"NPC2, CLTA, CTSB, CTSH, CTSZ, GM2A, IGF2R, LIPA, ATP6AP1, ACP5, PPT1, LGMN, CD63"
"NOD-like receptor signaling pathway",0,0.001,0.003,165,12,"NAMPT, GABARAP, CTSB, GBP1, GBP2, IL1B, NFKB1, OAS2, OAS3, CCL5, STAT1, TXN"
"NF-kappa B signaling pathway",0,0.001,0.004,93,9,"DDX58, ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40"
"Hematopoietic cell lineage",0,0.001,0.004,94,9,"IL1A, IL1B, ITGAM, TFRC, CD1A, CD1C, CD9, CD36, CD44"
"Ferroptosis",0,0.002,0.009,40,6,"ACSL1, ACSL4, FTH1, FTL, HMOX1, TFRC"
"Phagosome",0,0.005,0.028,147,10,"CD209, HLA-A, HLA-B, ITGAM, ITGB2, MRC1, NCF2, ATP6AP1, TFRC, CD36"
"Osteoclast differentiation",0,0.006,0.043,126,9,"IL1A, IL1B, LCP2, NCF2, NFKB1, NFKB2, ACP5, STAT1, SQSTM1"
"Toll-like receptor signaling pathway",0,0.007,0.06,104,8,"IL1B, IRF5, CCL4L1, NFKB1, CCL3, CCL5, STAT1, CD40"
"Necroptosis",0,0.007,0.062,162,10,"FTH1, FTL, IL1A, IL1B, PLA2G4A, EIF2AK2, STAT1, STAT5A, CAMK2D, SQSTM1"
"Cell adhesion molecules (CAMs)",0,0.007,0.072,135,9,"GLG1, CD274, HLA-A, HLA-B, ICAM1, ITGAM, ITGB2, PECAM1, CD40"
"Endocytosis",0,0.008,0.093,237,12,"EHD1, CLTA, DAB2, EHD4, HLA-A, HLA-B, IGF2R, PML, SRC, TFRC, CBL, SNX3"
"HIF-1 signaling pathway",0.001,0.019,0.232,98,7,"HK2, HMOX1, NFKB1, PFKFB3, TCEB2, TFRC, CAMK2D"
"Complement and coagulation cascades",0.001,0.028,0.37,78,6,"ITGAM, ITGAX, ITGB2, SERPINB2, PLAUR, VTN"
"TNF signaling pathway",0.002,0.029,0.41,108,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"Tryptophan metabolism",0.003,0.046,0.683,37,4,"IL4I1, IDO1, KMO, KYNU"
"Cytosolic DNA-sensing pathway",0.003,0.05,0.806,63,5,"DDX58, IL1B, CCL4L1, NFKB1, CCL5"
"Natural killer cell mediated cytotoxicity",0.004,0.053,0.9,124,7,"FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2, CD48"
"AGE-RAGE signaling pathway in diabetic complications",0.005,0.062,1,98,6,"ICAM1, IL1A, IL1B, NFKB1, STAT1, STAT5A"
"Type I diabetes mellitus",0.005,0.062,1,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"Antigen processing and presentation",0.005,0.068,1,71,5,"CTSB, HLA-A, HLA-B, LGMN, CD74"
"PPAR signaling pathway",0.006,0.068,1,72,5,"FABP4, FABP5, ACSL1, ACSL4, CD36"
"Chemokine signaling pathway",0.008,0.094,1,181,8,"HCK, CCL4L1, NFKB1, CCL3, CCL5, CCL20, SRC, STAT1"
"Mineral absorption",0.009,0.095,1,51,4,"FTH1, FTL, HMOX1, MT2A"
"Antifolate resistance",0.011,0.112,1,29,3,"IL1B, NFKB1, GGH"
"Fructose and mannose metabolism",0.014,0.141,1,32,3,"HK2, PFKFB3, FBP2"
"Alanine, aspartate and glutamate metabolism",0.018,0.167,1,35,3,"IL4I1, GFPT1, GLS"
"Fatty acid biosynthesis",0.018,0.167,1,13,2,"ACSL1, ACSL4"
"Adipocytokine signaling pathway",0.024,0.209,1,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"RIG-I-like receptor signaling pathway",0.024,0.209,1,69,4,"DDX58, NFKB1, IFIH1, ISG15"
"Prolactin signaling pathway",0.026,0.212,1,70,4,"NFKB1, SRC, STAT1, STAT5A"
"Leukocyte transendothelial migration",0.027,0.219,1,106,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"Fatty acid metabolism",0.033,0.257,1,44,3,"ACSL1, ACSL4, PPT1"
"Cellular senescence",0.041,0.308,1,158,6,"HLA-A, HLA-B, IL1A, NFKB1, ZFP36L1, SQSTM1"
"ErbB signaling pathway",0.045,0.332,1,84,4,"SRC, STAT5A, CAMK2D, CBL"
"IL-17 signaling pathway",0.056,0.398,1,90,4,"IL1B, NFKB1, PTGS2, CCL20"
"D-Glutamine and D-glutamate metabolism",0.063,0.43,1,4,1,"GLS"
"Apoptosis",0.065,0.43,1,135,5,"CTSB, CTSH, CTSZ, NFKB1, TRAF1"
"VEGF signaling pathway",0.066,0.43,1,58,3,"PLA2G4A, PTGS2, SRC"
"Inflammatory mediator regulation of TRP channels",0.068,0.433,1,96,4,"IL1B, PLA2G4A, SRC, CAMK2D"
"Non-alcoholic fatty liver disease (NAFLD)",0.076,0.461,1,141,5,"IL1A, IL1B, NDUFA4, NDUFA10, NFKB1"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.078,0.461,1,5,1,"IL4I1"
"Neomycin, kanamycin and gentamicin biosynthesis",0.078,0.461,1,5,1,"HK2"
"Mitophagy - animal",0.08,0.462,1,63,3,"GABARAP, SRC, SQSTM1"
"Insulin resistance",0.088,0.492,1,105,4,"GFPT1, NFKB1, PTPN1, CD36"
"Fc epsilon RI signaling pathway",0.089,0.492,1,66,3,"FCER1G, LCP2, PLA2G4A"
"Th17 cell differentiation",0.092,0.5,1,107,4,"IL1B, NFKB1, STAT1, STAT5A"
"Riboflavin metabolism",0.121,0.643,1,8,1,"ACP5"
"Platelet activation",0.129,0.649,1,121,4,"FCER1G, LCP2, PLA2G4A, SRC"
"Ether lipid metabolism",0.129,0.649,1,39,2,"PLD3, PLA2G4A"
"Cytokine-cytokine receptor interaction",0.132,0.649,1,265,7,"IL1A, IL1B, CCL4L1, CCL3, CCL5, CCL20, CD40"
"ECM-receptor interaction",0.133,0.649,1,79,3,"VTN, CD36, CD44"
"Cysteine and methionine metabolism",0.151,0.723,1,43,2,"IL4I1, SMS"
"Fatty acid degradation",0.157,0.736,1,44,2,"ACSL1, ACSL4"
"GABAergic synapse",0.167,0.77,1,88,3,"GABARAP, GLS, SRC"
"Insulin signaling pathway",0.174,0.782,1,136,4,"HK2, PTPN1, CBL, FBP2"
"Amino sugar and nucleotide sugar metabolism",0.179,0.782,1,48,2,"GFPT1, HK2"
"GnRH signaling pathway",0.179,0.782,1,91,3,"PLA2G4A, SRC, CAMK2D"
"Th1 and Th2 cell differentiation",0.183,0.782,1,92,3,"NFKB1, STAT1, STAT5A"
"Ovarian steroidogenesis",0.185,0.782,1,49,2,"PLA2G4A, PTGS2"
"Regulation of lipolysis in adipocytes",0.214,0.882,1,54,2,"FABP4, PTGS2"
"T cell receptor signaling pathway",0.216,0.882,1,100,3,"LCP2, NFKB1, CBL"
"Oxytocin signaling pathway",0.223,0.897,1,151,4,"PLA2G4A, PTGS2, SRC, CAMK2D"
"Arachidonic acid metabolism",0.238,0.936,1,58,2,"PLA2G4A, PTGS2"
"Phenylalanine metabolism",0.241,0.936,1,17,1,"IL4I1"
"Steroid biosynthesis",0.277,1,1,20,1,"LIPA"
"Arginine biosynthesis",0.277,1,1,20,1,"GLS"
"Oxidative phosphorylation",0.285,1,1,116,3,"NDUFA4, NDUFA10, ATP6AP1"
"Adherens junction",0.286,1,1,66,2,"PTPN1, SRC"
"Fatty acid elongation",0.288,1,1,21,1,"PPT1"
"Glycolysis / Gluconeogenesis",0.292,1,1,67,2,"HK2, FBP2"
"AMPK signaling pathway",0.303,1,1,120,3,"PFKFB3, FBP2, CD36"
"B cell receptor signaling pathway",0.31,1,1,70,2,"NFKB1, CD81"
"Proximal tubule bicarbonate reclamation",0.311,1,1,23,1,"GLS"
"alpha-Linolenic acid metabolism",0.311,1,1,23,1,"PLA2G4A"
"Folate biosynthesis",0.333,1,1,25,1,"GGH"
"Linoleic acid metabolism",0.354,1,1,27,1,"PLA2G4A"
"Ubiquitin mediated proteolysis",0.364,1,1,134,3,"PML, TCEB2, CBL"
"Nicotinate and nicotinamide metabolism",0.365,1,1,28,1,"NAMPT"
"Peroxisome",0.374,1,1,81,2,"ACSL1, ACSL4"
"Pentose phosphate pathway",0.375,1,1,29,1,"FBP2"
"MAPK signaling pathway",0.379,1,1,252,5,"IL1A, IL1B, NFKB1, NFKB2, PLA2G4A"
"Galactose metabolism",0.385,1,1,30,1,"HK2"
"beta-Alanine metabolism",0.385,1,1,30,1,"SMS"
"Retrograde endocannabinoid signaling",0.386,1,1,139,3,"NDUFA4, NDUFA10, PTGS2"
"Metabolic pathways",0.391,1,1,1216,21,"NAMPT, ACSL1, ACSL4, PLD3, IL4I1, GFPT1, GLS, HK2, HMOX1, IDO1, NDUFA4, NDUFA10, PLA2G4A, ATP6AP1, ACP5, PPT1, PTGS2, SMS, KMO, FBP2, KYNU"
"Autophagy - other",0.395,1,1,31,1,"GABARAP"
"Fc gamma R-mediated phagocytosis",0.403,1,1,86,2,"HCK, PLA2G4A"
"Glycerophospholipid metabolism",0.409,1,1,87,2,"PLD3, PLA2G4A"
