"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"NOD-like receptor signaling pathway",0,0,0.001,165,12,"NAMPT, GABARAP, CTSB, GBP1, GBP2, IL1B, NFKB1, OAS2, OAS3, CCL5, STAT1, TXN"
"NF-kappa B signaling pathway",0,0,0.001,93,9,"DDX58, ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40"
"Hematopoietic cell lineage",0,0,0.001,94,9,"IL1A, IL1B, ITGAM, TFRC, CD1A, CD1C, CD9, CD36, CD44"
"Ferroptosis",0,0.001,0.004,40,6,"ACSL1, ACSL4, FTH1, FTL, HMOX1, TFRC"
"Phagosome",0,0.002,0.008,147,10,"CD209, HLA-A, HLA-B, ITGAM, ITGB2, MRC1, NCF2, ATP6AP1, TFRC, CD36"
"Osteoclast differentiation",0,0.002,0.014,126,9,"IL1A, IL1B, LCP2, NCF2, NFKB1, NFKB2, ACP5, STAT1, SQSTM1"
"Necroptosis",0,0.003,0.018,162,10,"FTH1, FTL, IL1A, IL1B, PLA2G4A, EIF2AK2, STAT1, STAT5A, CAMK2D, SQSTM1"
"Toll-like receptor signaling pathway",0,0.003,0.021,104,8,"IL1B, IRF5, CCL4L1, NFKB1, CCL3, CCL5, STAT1, CD40"
"Cell adhesion molecules (CAMs)",0,0.003,0.023,135,9,"GLG1, CD274, HLA-A, HLA-B, ICAM1, ITGAM, ITGB2, PECAM1, CD40"
"HIF-1 signaling pathway",0,0.01,0.096,98,7,"HK2, HMOX1, NFKB1, PFKFB3, TCEB2, TFRC, CAMK2D"
"Complement and coagulation cascades",0.001,0.014,0.172,78,6,"ITGAM, ITGAX, ITGB2, SERPINB2, PLAUR, VTN"
"TNF signaling pathway",0.001,0.014,0.173,108,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1"
"Natural killer cell mediated cytotoxicity",0.002,0.028,0.391,124,7,"FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2, CD48"
"Tryptophan metabolism",0.002,0.028,0.4,37,4,"IL4I1, IDO1, KMO, KYNU"
"Cytosolic DNA-sensing pathway",0.002,0.028,0.425,63,5,"DDX58, IL1B, CCL4L1, NFKB1, CCL5"
"AGE-RAGE signaling pathway in diabetic complications",0.002,0.035,0.565,98,6,"ICAM1, IL1A, IL1B, NFKB1, STAT1, STAT5A"
"Type I diabetes mellitus",0.003,0.041,0.701,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"PPAR signaling pathway",0.003,0.043,0.767,72,5,"FABP4, FABP5, ACSL1, ACSL4, CD36"
"Chemokine signaling pathway",0.003,0.045,0.856,181,8,"HCK, CCL4L1, NFKB1, CCL3, CCL5, CCL20, SRC, STAT1"
"Mineral absorption",0.005,0.065,1,51,4,"FTH1, FTL, HMOX1, MT2A"
"Antifolate resistance",0.007,0.086,1,29,3,"IL1B, NFKB1, GGH"
"Fructose and mannose metabolism",0.01,0.108,1,32,3,"HK2, PFKFB3, FBP2"
"Alanine, aspartate and glutamate metabolism",0.012,0.132,1,35,3,"IL4I1, GFPT1, GLS"
"Fatty acid biosynthesis",0.013,0.139,1,13,2,"ACSL1, ACSL4"
"Adipocytokine signaling pathway",0.015,0.14,1,69,4,"ACSL1, ACSL4, NFKB1, CD36"
"RIG-I-like receptor signaling pathway",0.015,0.14,1,69,4,"DDX58, NFKB1, IFIH1, ISG15"
"Leukocyte transendothelial migration",0.015,0.14,1,106,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"Prolactin signaling pathway",0.016,0.14,1,70,4,"NFKB1, SRC, STAT1, STAT5A"
"Cellular senescence",0.022,0.188,1,158,6,"HLA-A, HLA-B, IL1A, NFKB1, ZFP36L1, SQSTM1"
"ErbB signaling pathway",0.029,0.238,1,84,4,"SRC, STAT5A, CAMK2D, CBL"
"IL-17 signaling pathway",0.036,0.287,1,90,4,"IL1B, NFKB1, PTGS2, CCL20"
"Inflammatory mediator regulation of TRP channels",0.044,0.337,1,96,4,"IL1B, PLA2G4A, SRC, CAMK2D"
"Non-alcoholic fatty liver disease (NAFLD)",0.045,0.337,1,141,5,"IL1A, IL1B, NDUFA4, NDUFA10, NFKB1"
"VEGF signaling pathway",0.046,0.337,1,58,3,"PLA2G4A, PTGS2, SRC"
"D-Glutamine and D-glutamate metabolism",0.054,0.386,1,4,1,"GLS"
"Mitophagy - animal",0.056,0.386,1,63,3,"GABARAP, SRC, SQSTM1"
"Insulin resistance",0.057,0.386,1,105,4,"GFPT1, NFKB1, PTPN1, CD36"
"Th17 cell differentiation",0.061,0.397,1,107,4,"IL1B, NFKB1, STAT1, STAT5A"
"Fc epsilon RI signaling pathway",0.063,0.403,1,66,3,"FCER1G, LCP2, PLA2G4A"
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.067,0.409,1,5,1,"IL4I1"
"Neomycin, kanamycin and gentamicin biosynthesis",0.067,0.409,1,5,1,"HK2"
"Cytokine-cytokine receptor interaction",0.074,0.435,1,265,7,"IL1A, IL1B, CCL4L1, CCL3, CCL5, CCL20, CD40"
"Antigen processing and presentation",0.075,0.435,1,71,3,"CTSB, HLA-A, HLA-B"
"Platelet activation",0.087,0.49,1,121,4,"FCER1G, LCP2, PLA2G4A, SRC"
"Lysosome",0.089,0.49,1,122,4,"CTSB, ATP6AP1, ACP5, CD63"
"ECM-receptor interaction",0.096,0.52,1,79,3,"VTN, CD36, CD44"
"Ether lipid metabolism",0.101,0.536,1,39,2,"PLD3, PLA2G4A"
"Riboflavin metabolism",0.106,0.548,1,8,1,"ACP5"
"Endocytosis",0.11,0.559,1,237,6,"HLA-A, HLA-B, PML, SRC, TFRC, CBL"
"Insulin signaling pathway",0.119,0.571,1,136,4,"HK2, PTPN1, CBL, FBP2"
"Cysteine and methionine metabolism",0.119,0.571,1,43,2,"IL4I1, SMS"
"GABAergic synapse",0.122,0.571,1,88,3,"GABARAP, GLS, SRC"
"Fatty acid degradation",0.124,0.571,1,44,2,"ACSL1, ACSL4"
"Fatty acid metabolism",0.124,0.571,1,44,2,"ACSL1, ACSL4"
"GnRH signaling pathway",0.132,0.596,1,91,3,"PLA2G4A, SRC, CAMK2D"
"Th1 and Th2 cell differentiation",0.135,0.599,1,92,3,"NFKB1, STAT1, STAT5A"
"Amino sugar and nucleotide sugar metabolism",0.143,0.623,1,48,2,"GFPT1, HK2"
"Ovarian steroidogenesis",0.147,0.633,1,49,2,"PLA2G4A, PTGS2"
"Oxytocin signaling pathway",0.157,0.661,1,151,4,"PLA2G4A, PTGS2, SRC, CAMK2D"
"T cell receptor signaling pathway",0.161,0.668,1,100,3,"LCP2, NFKB1, CBL"
"Regulation of lipolysis in adipocytes",0.172,0.701,1,54,2,"FABP4, PTGS2"
"Arachidonic acid metabolism",0.192,0.77,1,58,2,"PLA2G4A, PTGS2"
"Phenylalanine metabolism",0.211,0.836,1,17,1,"IL4I1"
"Oxidative phosphorylation",0.217,0.844,1,116,3,"NDUFA4, NDUFA10, ATP6AP1"
"Metabolic pathways",0.231,0.864,1,1216,20,"NAMPT, ACSL1, ACSL4, PLD3, IL4I1, GFPT1, GLS, HK2, HMOX1, IDO1, NDUFA4, NDUFA10, PLA2G4A, ATP6AP1, ACP5, PTGS2, SMS, KMO, FBP2, KYNU"
"AMPK signaling pathway",0.232,0.864,1,120,3,"PFKFB3, FBP2, CD36"
"Adherens junction",0.232,0.864,1,66,2,"PTPN1, SRC"
"Glycolysis / Gluconeogenesis",0.238,0.87,1,67,2,"HK2, FBP2"
"Arginine biosynthesis",0.244,0.88,1,20,1,"GLS"
"B cell receptor signaling pathway",0.253,0.9,1,70,2,"NFKB1, CD81"
"MAPK signaling pathway",0.27,0.938,1,252,5,"IL1A, IL1B, NFKB1, NFKB2, PLA2G4A"
"Proximal tubule bicarbonate reclamation",0.275,0.938,1,23,1,"GLS"
"alpha-Linolenic acid metabolism",0.275,0.938,1,23,1,"PLA2G4A"
"Ubiquitin mediated proteolysis",0.284,0.955,1,134,3,"PML, TCEB2, CBL"
"Apoptosis",0.288,0.955,1,135,3,"CTSB, NFKB1, TRAF1"
"Folate biosynthesis",0.295,0.966,1,25,1,"GGH"
"Retrograde endocannabinoid signaling",0.303,0.98,1,139,3,"NDUFA4, NDUFA10, PTGS2"
"Peroxisome",0.31,0.981,1,81,2,"ACSL1, ACSL4"
"Linoleic acid metabolism",0.314,0.981,1,27,1,"PLA2G4A"
"Rap1 signaling pathway",0.323,0.981,1,207,4,"ITGAM, ITGB2, LCP2, SRC"
"Nicotinate and nicotinamide metabolism",0.324,0.981,1,28,1,"NAMPT"
"Regulation of actin cytoskeleton",0.332,0.981,1,210,4,"ITGAM, ITGAX, ITGB2, SRC"
"Pentose phosphate pathway",0.333,0.981,1,29,1,"FBP2"
"Fc gamma R-mediated phagocytosis",0.335,0.981,1,86,2,"HCK, PLA2G4A"
"Glycerophospholipid metabolism",0.34,0.981,1,87,2,"PLD3, PLA2G4A"
"Galactose metabolism",0.343,0.981,1,30,1,"HK2"
"beta-Alanine metabolism",0.343,0.981,1,30,1,"SMS"
"Autophagy - other",0.352,0.996,1,31,1,"GABARAP"
"Jak-STAT signaling pathway",0.364,1,1,155,3,"PTPN2, STAT1, STAT5A"
"Tight junction",0.379,1,1,159,3,"SRC, CD1A, CD1C"
"Starch and sucrose metabolism",0.387,1,1,35,1,"HK2"
"Tyrosine metabolism",0.387,1,1,35,1,"IL4I1"
"Fat digestion and absorption",0.404,1,1,37,1,"CD36"
"Porphyrin and chlorophyll metabolism",0.429,1,1,40,1,"HMOX1"
"Carbohydrate digestion and absorption",0.445,1,1,42,1,"HK2"
"Serotonergic synapse",0.458,1,1,111,2,"PLA2G4A, PTGS2"
"Glutamatergic synapse",0.458,1,1,111,2,"GLS, PLA2G4A"
"Carbon metabolism",0.467,1,1,113,2,"HK2, FBP2"
"Type II diabetes mellitus",0.468,1,1,45,1,"HK2"
"Thyroid hormone signaling pathway",0.481,1,1,116,2,"SRC, STAT1"
"Intestinal immune network for IgA production",0.482,1,1,47,1,"CD40"
"Notch signaling pathway",0.482,1,1,47,1,"NCSTN"
"Valine, leucine and isoleucine degradation",0.489,1,1,48,1,"IL4I1"
"Arginine and proline metabolism",0.489,1,1,48,1,"SMS"
"Sphingolipid signaling pathway",0.49,1,1,118,2,"FCER1G, NFKB1"
"Neurotrophin signaling pathway",0.49,1,1,118,2,"NFKB1, CAMK2D"
"Glutathione metabolism",0.517,1,1,52,1,"SMS"
"Autophagy - animal",0.525,1,1,126,2,"GABARAP, CTSB"
"Relaxin signaling pathway",0.538,1,1,129,2,"NFKB1, SRC"
"Long-term depression",0.563,1,1,59,1,"PLA2G4A"
"Phospholipase D signaling pathway",0.586,1,1,141,2,"FCER1G, PLA2G4A"
"Ras signaling pathway",0.593,1,1,220,3,"NFKB1, PLA2G4A, REL"
"Renin secretion",0.598,1,1,65,1,"CTSB"
"Long-term potentiation",0.609,1,1,67,1,"CAMK2D"
"Gastric acid secretion",0.651,1,1,75,1,"CAMK2D"
"EGFR tyrosine kinase inhibitor resistance",0.666,1,1,78,1,"SRC"
"Aldosterone synthesis and secretion",0.684,1,1,82,1,"CAMK2D"
"Axon guidance",0.691,1,1,171,2,"SRC, CAMK2D"
"Insulin secretion",0.693,1,1,84,1,"CAMK2D"
"Gap junction",0.705,1,1,87,1,"SRC"
"Longevity regulating pathway",0.71,1,1,88,1,"NFKB1"
"Endocrine resistance",0.737,1,1,95,1,"SRC"
"Circadian entrainment",0.741,1,1,96,1,"CAMK2D"
"Estrogen signaling pathway",0.748,1,1,98,1,"SRC"
"Glucagon signaling pathway",0.755,1,1,100,1,"CAMK2D"
"Melanogenesis",0.755,1,1,100,1,"CAMK2D"
